Product name,Product price,Product description,Product shipping,Product details,Product review,Product rating
"['Smart Plug, Dual Alexa WiFi Plugs Outlet Energy Monitoring 2 in 1 Extenders Socket Work with Google Home, Smart Life App, No hub Required']","['Information Not Found', 'Information Not Found']",['Style:Dual smart plugsmart plug 2 in 1'],['Information Not Found'],"['✔【ENERGY MONITORING & TIMER FUNCTION】✔Track current and historical power usage for connected devices and effectively schedule your usage to save on your next electric bill. With the convenient timer function, the smart home plug can on/off automatically up to your mind✔【Easy Installation & Control Anywhere】✔Just need internet(the first time to connect needs to 2.4GHz), Smart Life APP, you can control your device anywhere anytime, no hub required.✔【Voice Control, Hand Free】✔Smart plug works with Alexa Google Home, only say to them if you need turn on/off electricals【Timer Schedule & Device Sharing】30 group timing, never come home to a dark house, also share the device to your family, it is no worried when you go out or if the phone not stand by.【Quality Service】Any issues during 12 month, we will ship you a replacement after confirmed.›See more product details']","['60', '60']","['4.0', '4.0']"

"['DEWENWILS Remote Control Light Lamp Socket E26 E27 Bulb Base, Wireless Light Switch Kit, White, Programmable, 4 Sockets 2 Remotes, CHRLSXXA Series']","['CDN$33.99', 'Information Not Found']",['Information Not Found'],"[FREE on First Order]","['SIMPLE, FAST, CONVENIENT: An easy way to turn your lights on & off from anywhere in the house whenever you want. Each light bulb socket has a manual switch besides the wireless remote controller80FT LONG RANGE: Strong RF signal works through walls and doors without any interference; Do not need to be in line of sight for remote to workEXPANDABLE: The sockets and transmitters have been pre-programmed for immediate use. It also has a self-learning function which allow you to expand your system with other Dewenwils remote control lamp socket setsENERGY SAVING: Remotely turn off the lights easily by just pushing a button to save energy; eliminate power wasting and save your moneySAFE & STEADY PERFORMANCE: Dewenwils HRLSXXA series wireless light socket obtained ETL and FCC certificates; Made of high temperature and electricity resistance PBT material; Comes with 1 year warranty›See more product details']","['355', '355']","['4.4', '4.4']"

"['DEWENWILS WiFi Smart Plug Outlet, Voice and App Remote Controlled Wireless Smart Outlets, Compatible with Alexa, Google Home and IFTTT, No Hub Required']","['CDN$85.01', 'Information Not Found']","[""Size\r\r\r\r\r\r:IndoorOur App version will continue to be upgraded, please noted to upgraded.Multi-functional TimerYou can set the on/off time in a 7-day period with a 1 minute interval according to your needs. Every program you set repeats weekly. Either +/- 30 minutes than setting on/off time, randomly control lights when you are away from home, make it appear as if you're still at home to deter intruders.Whenever you set and start the countdown mode, the smart plug will maintain the current state (on or off) until the end of the countdown. It will exit countdown mode automatically if you turn on/off manually. You can set the duration of each on and off, the start and end time according to your needs. The on/off schedule will repeat between the start and end time.Push Button & Indicator LightThe push button on the socket allows you to turn on or off manually . It is nice especially when the network is weak or down. Also the indicator light of different colors are good to confirm which state it is in. Share with Your FamilyYou can share your smart outlet with your family so that they can control it at the same time. SpecificationsInput Voltage: 125VAC, 60HzMax Power Rating: 15A Resistive/8A Tungsten/1/3HPWireless Type: 2.4GHz IEEE 802.11 b/g/nPacking List 1x Wifi Smart Plug1x Instruction.NoteIn case of power or network failure, the smart plug will go back to the state before failure.""]","[Free Shiping]","['COMPATIBILITY- Works flawlessly with Alexa, Google Assistant & IFTTT, No hub required; requires Android 4.4/ IOS 7.0 or above; only supports 2.4GHz Wi-Fi networkMULTI-FUNCTION TIMER- Designed with a countdown, random, programmable and repeat timer function, to help you to schedule your devices; wherever you are, turn on/off home electronics freely by your phoneCONVENIENT- Set timer program and then share with your family members or create schedule to make your life easier and smarter as well as reduce the electricity billsSIMPLELY INSTALLATION- Plug in the Smart Plug, download app and connect the network and devices as the instruction shows step by stepDURABLE- ETL certified and one year warranty provided, if you meet any technical issue, please feel free to contact us, we will try our best to help you›See more product details']","['327', '327']","['4.3', '4.3']"

"['WiFi Smart Plug WiFi Plug in Switch, Smart Socket Compatible with Amazon Alexa and Google Home, Remote Controlled, Timer Controlled, ETL Listed, No Hub Required (2 Pack) - XUNTIY']","['CDN$71.44', 'Information Not Found']","['Size\r\r\r\r\r\r:2 PackProduct Description:1.Support IOS 8.0 and Above/Android 4.8 and Above 2.Max Power: 3300 W, Max Current Rate: 15 A3.Work with Amazon Alexa, echo, echo dot, google home, google assistant and google mini.4.Packing inside:2*XUNTIY smart plug 1*User Manual. Simple to set up and use Search for the eFamilyCloud APP on the App store or google play, you can also scan the QR code in your User Manual provided. Connect method1: Press the button for 6 seconds until the indicator light flash quickly then open eFamilyCloud APP to connect. Following the steps of User Manual. Connect method2: Press the button for 5 seconds again until the indicator light flash slowly, open APP, after the steps of ADD devices then choose AP mode, confirm the indicator light slowly blink.  Following the steps of APP.Warm tips Only support 2.4GHZ WiFi network, 5GHZ is not available. No hub required if you are using BT router and failed to connect, you need to reset the router, you can also consult our technical support. Share with family you could share the smart plug with your friends and family by adding device sharing. Group Control you could control more than 2 smart devices by create group.How can i do when failed to connect 1.Please check if the smart outlet is powered on;2. Whether the mobile phone network is available;3. Please check if the route of the connection socket is 2.4G; (our socket only supports 2.4G routing connection) 4. When adding an smart plug, whether the Wi-Fi password entered in the app is correct;5.If the number of access devices has reached the upper limit of the router, try to turn off some Wi-Fi devices, reset the router and re-provision the network.']","[Free Shiping]","[""VOICE CONTROL: Control your home appliances with the wifi smart plug easily by voice commands to Amazon Alexa , echo, echo dot, or Google Home, Google Assistant , Google Mini.REMOTE CONTROL: Away mode, you can also turn on or turn off connected device at any time through the eFamilyCloud app connected to any internet when you didn't at home, works with AC 110V-240V, 15A maximum load.SET SCHEDULE & TIMER :The timer outlet plug enable you to create schedules to automatically power on or off your home electronics. Schedule the wifi outlet to automatically power electronics on and off as needed. You can create a group for all of your smart devices and control them all with just one command. Simply set a timer for the smart home plug to turn off its appliance automatically.SHARE WITH FAMILY: Can share the wifi plug outlet with your family by sharing the device. The XUNTIY Smart Wi-Fi Plug made you and your family relationships even more intimate. Convenient smart power plug makes you happy every day.QUALITY GUARANTEED: The smart wifi plug features a sleek new design that is CE approved product. If you encounter any problem or need support, please feel free to contact us or Amazon directly. We offer two years of warranty and replacement services and lifetime technical support services if the smart plug outlet is defective, please contact us whenever you encounter product issue.›See more product details""]","['12', '12']","['3.8', '3.8']"

"['Smart Plug WiFi Smart Outlet Mini Socket Compatible with Alexa,Google Home,IFTTT,No Hub Required,Remote Control Appliances,Timing Schedule, FCC RoHS CE Certified (2-Pack)']","['CDN$20.99', 'Information Not Found']","['Color Name:2-PACKWQQ Mini Smart WiFi Plug Outlet is Compatible with Alexa ,Google Home,IFTTT for Your Smart LifeTechnical Specifications★Model Number:BSD01★Working Temp: -10 ~ 60 ℃★WiFi Requirement: 2.4Ghz★ Rated Voltage: 100 - 240V★Rated Current: 10A/16A ★ AC Frequency: 2.4 GhzNotes1. The free APP ‘Smart Life’ is compatible with mobile devices that support IOS 8.0 &Android 4.4 above .2. The smart plug can only support 2.4G network when connectingPackage Includes: 2* WQQ Mini Smart Socket  1* User Manual']","[FREE on First Order]","['【VOICE CONTROL & APP REMOTE CONTROL】--WQQ Smart plug works with Alexa ,Google Home, IFTTT, is compatible with Amazon Echo voice-control devices.Download‘Smart Life’free APP to smartly remote control your home devices from anywhere anytime.(Supports 2.4GHz Wi-Fi)【TIMING & SCHEDULE】--Mini smart outlet can set schedules and timers for the home appliances.Customize schedule of smart plug under needs and habits,it will automatically turns on / off the connected applicances .smartly set specific time by smart plug,such as -set smart plug to turn on lights at 18:00.【WIDE APPLICATION & No HUB REQUIRED】--WQQ WiFi smart socket remotely control your home applicances via phone & tablet ,can be used for lights ,air-conditioner,wash machine,oven,juicer,electric fan,rice cooker,table lamp and more.Without need for a separate hub,mini smart plug just need 2.4GHz WiFi to work.【SIMPLE TO SET UP】--Easy to install, just plug smart socket into an outlet, download the free ‘Smart Life’APP in App Store or Google Play then connect to WiFi network to get access to all the smart devices.finaly enable Smart Life skill on Alexa App to voice control.【SAFETY & PREMIUM MATERIALS】-- WiFi smart plug outlet is FCC Rosh CE certified to guarantee the safety ,made of durable PC+ ABS materials ,750°fire protection shell to prevents from overcharging, overheating for home appliance. WQQ Direct awards 30 days money back or free replacement,18-month warranty support to assure your long-time enjoyment.›See more product details']","['37', '37']","['3.9', '3.9']"

"['Smart Plug Alexa, Amysen -A Certified Works with Alexa, Echo & Google Home – Only WiFi 2.4G (4 Pieces)']","['Information Not Found', 'CDN$37.99']",['Information Not Found'],"[Free Shiping]",[''],"['79', '79']","['4.5', '4.5']"

"['Smart Wall Socket,WiFi Smart Outlet with 2 AC Sockets and 1 USB Port,Compatible with Alexa, Google Home']","['CDN$33.00', 'Information Not Found']","["" EMBRACE SMART LIVING  IgnisAlert App Control Smart Socket. Turns socket on or off with your phone (android or ios device) whenever and wherever you are after downloading the FREE Tuya APP Voice Control Smart outlets that work with Alexa & Google Home. We threw in a USB charger too  EASY TO USE  IgnisAlert Smart Socket Easily replace the traditional sockets one-to-one and you can enjoy Your Smart Life with IgnisAlert Smart Product   SAFETY FIRST  Remote access implies you don’t need to worry about appliance state when going to work or a trip; you can turn appliances on/off from anywhere. Give an impression that a building or warehouse is manned. You can control multiple separate electronic devices right from your smart phone. Schedules/ Counterdown: You can turn power on/off on your own timetable, or set a countdown to turn power on/off from 1 min to 60 mins via 'smart life' app. Remotely check if the power is off or not, imagine the power-saving. PERFECT AS A GIFT  Imagine a phone call telling you your gift just saved my life and property.""]","[FREE on First Order]","['Embrace Smart Living. The Smart Outlet makes life easier. Control your electrical items via your phone APP and the smart plugs; control them anywhere with your android or ios device by using the free ""SmartLife"" App. You just need 1 minute and 2.4G Wi-Fi to control the Smart Wall Outlet and your electrical equipment no matter where you. A complete personal daily schedule can also be set to simplify your life while saving energy.Easy to Use Once the Smart Wall Outlet is set up, turn a connected appliance on and off using the SMART LIFE app. Connect as many wall outlet as you want and group them together to turn off when you go out or turn on when you get home. Google Home and Amazon Alexa supported for convenience.Peace of Mind Remote access means you\'ll never have to worry about when going to work or having a trip to turn appliances on/off. It\'s necessary in some warehouse, or dangerous location for safety guarantee.Support WiFi network,Tuya AppCompatible with Andriod and iOS system and Support Amazon Alexa & Google home.›See more product details']","['26', '26']","['4.3', '4.3']"

"[""ConnectSense Smart in-Wall Outlet, WiFi Connected Electrical Smart Wall Socket That's Compatible with Amazon Alexa, Apple HomeKit Siri and Google Assistant (15A)""]","['CDN$111.99', 'Information Not Found']","[""Style:15AConnectSense Smart In-Wall Outlet - automate, track and save on energy usage at home and in the officeHave a nagging feeling that you forgot to switch off the water heater or air conditioner before you leave the house this morning? ConnectSense smart receptacle puts your mind at ease when memory lapses like these happen. The smart wall outlets put appliances and devices on auto-pilot mode, let you control them wherever you are and track their power usage. Hello smart home or office and greater energy savings!How ConnectSense smart receptacle helps you optimize energy savings - With the ConnectSense app installed on any iOS/Android device of your choice, the in wall smart outlet measures and tracks power usage of plug-in devices and appliances (lamps, lights, microwave oven, water heater, to name a few) within a 1% accuracy to give you ultra-precise energy data with interactive charts. - With clear visibility of power usage throughout your home or office, you'll be empowered to make smart choices for your energy utilization. - This smart wall outlet also works with Amazon Alexa, Apple HomeKit (Siri) and Google Assistant to let you intuitively control your home or office devices wherever you may be - whether you're driving, or at the airport about to fly off for a well-deserved vacation.Effortless to get startedConnectSense smart receptacle only needs Wifi (2.4 Ghz) to work. No hub or subscription is ever required. Get started today!Product Description""]","[Free Shiping]","['ULTRA-PRECISE ENERGY MONITORING: ConnectSenses Smart Wall Outlet plugs measure the power usage of devices and appliances within a 0.1% accuracy and provides energy and costs data with interactive charts by the hour, day, month or year, so you can be empowered to make smarter energy usage choices.PUT YOUR HOME OR OFFICE ON AUTO PILOT: This smart receptacle lets you control plug-in devices with the sound of your voice, such as lights, fans and appliances in your home or office wherever you are with any iOS/Android device paired with Amazon Alexa, Apple HomeKit (Siri) and Google Assistant. The future of automating your home or office is now with these smart wall outlets.INDEPENDENT OUTLET CONTROL: The in wall smart outlet puts total control in your hands when you can schedule, name and track the top and bottom receptacles separately, giving you true versatility and optimal savings for various plug-in devices around the house or office.SAFE, SIMPLE CONTROL USING CAPACITIVE TOUCH: These smart wall outlets feature flat, sensitive capacitive touch controls that are not only sleek and easy to use, you may even lock usage when it’s time for homework, not video games. It’s energy monitoring and control--seamlessly designed to fit right in.COMES IN 15 AND 20 AMPS VERSIONS: The ConnectSense Smart Wall Outlet comes in two different amps versions for applications throughout the home and commercial environments; they only need Wifi (2.4 Ghz) to work, no hub or subscription is ever required.›See more product details']","['21', '21']","['4.4', '4.4']"

"['AIMASON WiFi Smart Plug, Voice Control Outlet Compatible with Alexa, Google Home& IFTTT, Fireproof& Overload Protection Wireless Socket with Timer& Countdown, Support Multiple APP Control, White (2 Pack)']","['CDN$20.99', 'Information Not Found']","['Start Your Smart Life, Everything Is Under Your Control The AIMASON smart plugallows you to create customized schedules for your appliances so that they run on your schedule. You’ll find that automating your devices will help streamline your daily routine for a more efficient household.  Compatible with Alexa& Google Home& IFTTT Connect the AIMASON wifi plug outletsto Amazon Alexa& Google Home& IFTTTfor voice control. At the sound of your voice, you’ll be able to turn on appliances across the room as your hands are busy with cooking, or shut the bedroom light off without getting up.  Product Parameters Output current: 10A Input voltage: 100-240V Specifications: US plug ABS + PC fireproof material Certification: FCC/ROSH Working humidity: <80% Working temperature: -20 ℃ to + 70 ℃ WiFi type: 2.4GHZ 802.11b/g/n Network security level: WPA/WPA2 WiFi distance: 50 meters outdoors, 30 meters indoors (depending on building materials and structure)  Package Included 2x Wi-Fi Smart Plug 1x User Manual 1x Color Box']","[FREE on First Order]","[""【Easy To Install】Plug the Wi-Fi smart plug into a power outlet and connect the device to the smart outlet. Download the Smart Life App for free from the App Store or Google Play and use your tablet or phone to control your device. Requires a secure 2.4GHz Wi-Fi network. No hub, no paid subscription service required.【Hands-free Voice Control】Compatible with Amazon Alexa, Google Home, and IFTTT. Just send voice commands to Alexa or Google Assistant and you can control your home appliances via smart outlet. When Alexa or Google hears the sound, you can turn on the appliances while you're busy cooking, or turn off the bedroom lights while you're out of bed.【Timer and Schedule】Use the Smart Life App to create schedules/ timers/ countdowns for connected electronic devices based on your time routine. You can turn on/ off connected devices such as humidifiers, kettles, and rice cookers. With the countdown timer function, simply setting a timer for the wifi plug outlets will automatically shut down its device.【Smart Remote Control】 Remote access through Smart Life APP, you can check the real-time status of the device anytime, anywhere. No matter where you are, you can set up a Google smart plug to automatically power on or off electronic devices as needed, such as powering lights and other devices before returning home.【Share Device with Family】This Alexa smart plug supports multiple mobile APPs that can be grouped and controlled, create a group for all wireless outlets, and control them in one command. Share your home device with all family members in just one minute. AIMASON smart Wi-Fi plug makes you and your family closer!›See more product details""]","['79', '79']","['4.4', '4.4']"

"['WiFi Smart Plugs Socket Compatible with Amazon Alexa Google Assistant IFTTT, Mini Wireless Outlet with Remote Control and Timer Function, No Hub Required - 2 Pack']","['Information Not Found', 'CDN$39.99']",['Information Not Found'],"[Free Shiping]","['【Set Up Easily】: No Hub required. Just plug a device into this WiFi outlet and have a simple setup on your phone App ""Smart Life"" under 2.4G network, then you can use it conveniently. You can share the device with your families so they can use it directly and no need to set up again.【Voice Control】: Compatible with Amazon alexa, Google home assistant and IFTTT, control your home appliances with the smart plug by simply giving voice commands to Amazon Alexa or Google Assistant.【Remote Control】: Control your electrical items via your phone whenever and wherever you are after downloading the FREE APP Smart Life as long as there is a network. Ideal for someone who are not convenient to go home and needs easy access to turn on/off a device.【Night Light Mode】: Latest design WiFi Smart Plug comes with colorful lights that can adjust color and intensity. The intimate night light design can accompany you at night and provide you with light. Of course, when you don\'t need it, you can also choose to turn it off to save power.【Timer Function】: Get ready to have a smart home and create customized schedule to automatically turn on and off any home Electronics or appliances such as lamps, Christmas Lighting, coffee maker, etc']",['129'],['4.5']

"['Kasa Smart WiFi 2 Outlet in-Wall Plug by TP-Link – Smart Plug, No Hub Required, Works with Alexa and Google (KP200)']","['CDN$29.99', 'Information Not Found']","[""Everything you enjoy about smart Plugs, now in adiscreetin-wall outlet. Smart in-wall outlets – Kasa smart’s in-wall outlet lets you control 2 plugged in devices from anywhere at the same time or individually. All the features and benefits of a Kasa smart plug multiplied. Take up less space with this in-wall option that's ideal for your living room, kitchen, even your bedroom.""]","[FREE on First Order]","['Smart in-wall outlets – Kasa smart’s in-wall outlet lets you control 2 plugged in devices from anywhere at the same time or individually.Control from anywhere – turn your in-wall outlet on or off, set schedules or scenes from anywhere with your smartphone using the Kasa smart app.Voice control - use simple voice commands with your in-wall smart outlet and any Alexa, Google Assistant or Microsoft Cortana.Grouping – in the Kasa smart app you can combine devices together for unified control with one single tap on your smartphone.Away mode – Improve your home’s security by setting your outlet to turn connected devices on and off randomly throughout the day›See more product details']","['418', '418']","['4.7', '4.7']"

"['[2 Pack] BESTTEN Smart WiFi Wall Receptacle Outlet, 15A/125V/1875W, Wireless Remote Control, ETL & FCC Listed']","['Information Not Found', 'CDN$39.99']",['Information Not Found'],"[Free Shiping]","['15A/125V/1875W, 1 standard (always-on) outlet and 1 Wi-Fi controlled outlet by connecting a secured 2.4GHz Wi-Fi network. The middle button can manually turn on/off the Wi-Fi controlled outletWith the Smart Life app, you can turn the Wi-Fi controlled outlet on or off, set schedules or timers from anywhereChild-safe design with tamper resistant outlets, decorator wall plate included, easy to install by side or back wiring. Note: Tamper resistant sockets may require frequent plugging in and out for smooth actionFCC and ETL listedRemind: This device only supports 2.4GHz WiFi frequency']","['31', '31']","['3.5', '3.5']"

"['AIMASON WiFi Smart Plug, Voice Control Outlet Compatible with Alexa, Google Home& IFTTT, Fireproof& Overload Protection Wireless Socket with Timer& Countdown, Support Multiple APP Control, White (4 Pack) …']","['Information Not Found', 'CDN$36.99']","['Start Your Smart Life, Everything Is Under Your Control The AIMASON smart plugallows you to create customized schedules for your appliances so that they run on your schedule. You’ll find that automating your devices will help streamline your daily routine for a more efficient household.  Compatible with Alexa& Google Home& IFTTT Connect the AIMASON wifi plug outletsto Amazon Alexa& Google Home& IFTTTfor voice control. At the sound of your voice, you’ll be able to turn on appliances across the room as your hands are busy with cooking, or shut the bedroom light off without getting up.  Product Parameters Output current: 10A Input voltage: 100-240V Specifications: US plug ABS + PC fireproof material Certification: FCC/ROSH Working humidity: <80% Working temperature: -20 ℃ to + 70 ℃ WiFi type: 2.4GHZ 802.11b/g/n Network security level: WPA/WPA2 WiFi distance: 50 meters outdoors, 30 meters indoors (depending on building materials and structure)  Package Included 4x Wi-Fi Smart Plug 1x User Manual 1x Color Box']","[Free Shiping]","[""【Easy To Install】Plug the Wi-Fi smart plug into a power outlet and connect the device to the smart outlet. Download the Smart Life App for free from the App Store or Google Play and use your tablet or phone to control your device. Requires a secure 2.4GHz Wi-Fi network. No hub, no paid subscription service required.【Hands-free Voice Control】Compatible with Amazon Alexa, Google Home, and IFTTT. Just send voice commands to Alexa or Google Assistant and you can control your home appliances via smart outlet. When Alexa or Google hears the sound, you can turn on the appliances while you're busy cooking, or turn off the bedroom lights while you're out of bed.【Timer and Schedule】Use the Smart Life App to create schedules/ timers/ countdowns for connected electronic devices based on your time routine. You can turn on/ off connected devices such as humidifiers, kettles, and rice cookers. With the countdown timer function, simply setting a timer for the wifi plug outlets will automatically shut down its device.【Smart Remote Control】 Remote access through Smart Life APP, you can check the real-time status of the device anytime, anywhere. No matter where you are, you can set up a Google smart plug to automatically power on or off electronic devices as needed, such as powering lights and other devices before returning home.【Share Device with Family】This Alexa smart plug supports multiple mobile APPs that can be grouped and controlled, create a group for all wireless outlets, and control them in one command. Share your home device with all family members in just one minute. AIMASON smart Wi-Fi plug makes you and your family closer!›See more product details""]","['3', '3']","['4.2', '4.2']"

"['RAOYI Smart Plug 4 Pack WiFi Mini Outlets Smart Socket, Compatible with Alexa and Google Assistant, No Hub Required,Timing Outlet Remote Control Your Devices from Anywhere']","['CDN$46.99', 'Information Not Found']","['Color Name:4PcsFunction Key and Indicator Description:  Short press the power button, red indicator lights up means power on, red indicator lights off means power off. Long press the power button for about 5 seconds, blue indicator flashes means the product begin enter into the distribution network mode. Blue indicator flashes slowly means the network connection is abnormal, please check the router or network configuration.  Technical Parameters:  Rated voltage: 110-125V Rated power: 1100W Maximum current: 10A Wireless Type: Wi-Fi 2.4GHz Operating temperature: 0 ℃ - 40 ℃ Support system: Android \\IOS Product Color: White Product Material: Fireproof PC V0 level Wireless Power Consumption: <0.3W Wi-Fi Frequency: 2.412~2.484GHz Support WiFi Format: 802.11b/g/n Support Safety Standards: WPA-PSK/ WPA2-PSk/WPA/WPA2/WEP/WPS2/WAPI Turn On Intelligence  How It Works:  1.Use your phone to search “smart life” in application market to download and install the App. Registration and login ""smart life"" APP; 2.Connect with the power supply, long press the power button more than 5 seconds until the blue indicator enters into the fast flash mode. Select confirm indicator rapidly blinks; 3.Enter your WiFi password for your phone and click ""Confirm"" to enter the page of the search device; 4.Enter the device page, then complete the configuration.  Package List:  4 x Smart Plug  4 x User Manual ']","[Free Shiping]","['🍁 Easy To Use And Install: This smart plug connect with internet through wi-fi network, No Hub and subscription required, just plug it into an outlet, connect a device to the smart plug, and wirelessly control home appliances whenever and wherever ( t only supports a 2.4GHz Wi-Fi network)🍁 Smart Remote Control: The smart plug works with Amazon Alexa, echo dot and Google home to manage your home devices through voice control. You can control home appliances remotely and smartly by your phone or tablet using the smart life App.🍁 Timing Function: Switch your home appliances On/Off automatically and intelligently by setting a specific time with the smart plug. You can schedule the air conditioner, Pre-set your house lit before coming home. You can control all smart plug in one command and share it to all family members. No more worries, enjoy the smart life together.🍁 Energy Saving And Safe: With the convenient function of timer, you can turn off home appliances to prevent from overcharging and overheating when they are not in use, and cut down your electricity bill.🍁 Wide Application: The smart socket can be used for any home appliances, such as lights, electric oven, toaster, fan, air-condition, coffee mill, etc. strong signal ensures the connection between the network and socket.›See more product details']","['43', '43']","['3.7', '3.7']"

